Titre de la ressource,Description de la ressource,URL de la ressource,Interne/Externe,Catégorie,Sous-catégorie
Organisme de soutien aux aidants naturels de l’Ontario,"Parcourez cette ressource complète pour obtenir des renseignements et un soutien, notamment par le biais d’une ligne d’assistance joignable 24 heures sur 24, 7 jours sur 7. Composez le 1 833 416-2273 ou clavardez en ligne. ",https://ontariocaregiver.ca/fr/pour-aidants-naturels/,Externe,la prestation de soins,Soutien aux aidants naturels 
Soutien à domicile et en milieu communautaire ,Découvrez comment obtenir de l’aide pour des membres de votre famille ou des patients qui ont besoin d’un soutien à domicile. ,https://www.ontario.ca/fr/page/soins-domicile-en-milieu-communautaire,Interne,la prestation de soins,Soutien aux aidants naturels 
Soins de relève,"Si vous êtes une aidante naturelle ou un aidant naturel, demandez une relève pour prendre une pause. En votre absence, soit une préposée ou un préposé aux services de soutien à la personne soit une professionnelle ou un professionnel de soins de santé peut fournir des services par le biais de l’Assurance-santé de l’Ontario. ",https://www.ontario.ca/fr/page/soins-de-releve,Interne,la prestation de soins,Soutien aux aidants naturels 
Crédit d’impôt pour personnes handicapées,Obtenez un crédit d’impôt si vous soutenez des membres de votre famille ayant une déficience grave et prolongée. ,https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/segments/deductions-credits-impot-personnes-handicapees/credit-impot-personnes-handicapees.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit d’impôt pour frais médicaux ,"Obtenez un crédit d’impôt si vous subvenez aux besoins de membres de votre famille et que vous avez payé des fournitures médicales, des soins dentaires ou des frais de déplacement. ",https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/tout-votre-declaration-revenus/declaration-revenus/remplir-declaration-revenus/deductions-credits-depenses/lignes-33099-33199-frais-medicaux-admissibles-vous-pouvez-demander-votre-declaration-revenus.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit canadien pour aidant naturel,Obtenez un crédit d’impôt non remboursable si vous subvenez soit aux besoins de votre conjointe ou conjoint en droit ou de fait soit à ceux d’une personne à charge ayant une déficience physique ou mentale. ,https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/tout-votre-declaration-revenus/declaration-revenus/remplir-declaration-revenus/deductions-credits-depenses/montant-aidants-naturels.html,Externe,la prestation de soins,Crédits d’impôt 
Crédit d’impôt de l’Ontario pour les soins à domicile à l’intention des aînés,"Obtenez un crédit d’impôt si vous aidez des personnes âgées à revenu faible ou modeste à payer des frais médicaux admissibles, notamment pour des prothèses auditives, des lits d’hôpitaux et des soins auxiliaires. ",https://www.ontario.ca/fr/page/credit-dimpot-de-lontario-pour-les-soins-domicile-lintention-des-aines,Interne,la prestation de soins,Crédits d’impôt 
Prestations aux aidants naturels,"Si vous devez vous absenter du travail pour fournir des soins ou apporter du soutien à une personne de votre famille gravement malade ou blessée qui présente un risque élevé de décès, vous pourriez être admissible à ces prestations.  

Congés familiaux 

Obtenez un congé non payé avec protection de l’emploi pour fournir des soins ou apporter du soutien à des membres de votre famille ou à d’autres personnes admissibles. 

Congé familial pour les aidants naturels  

Congé familial pour raison médicale  

 

Autres renseignements en matière d’impôts et de prestations 

Trouvez des crédits d’impôt, des incitatifs et des prestations qui vous aideront à vous occuper d’autres personnes : 

Impôts et avantages fiscaux au Canada  

Impôts et avantages fiscaux en Ontario  ",https://www.canada.ca/fr/services/prestations/ae/proches-aidants.html,Externe,la prestation de soins,Prestations d’emploi 
Que faire lorsque quelqu’un décède ,Trouvez les réponses à des questions courantes sur les formalités à remplir et le soutien offert lorsqu’une personne proche décède en Ontario. ,https://www.ontario.ca/fr/page/que-faire-lorsque-quelquun-decede,Interne,la prestation de soins,Décisions relatives à la fin de vie
Funérailles et dispositions ,"Renseignez-vous sur la planification de funérailles, d’un enterrement, d’une crémation ou d’une dispersion et apprenez quoi faire si vous découvrez un lieu de sépulture. ",https://www.ontario.ca/fr/page/protection-du-consommateur-pour-les-services-funeraires,Interne,la prestation de soins,Décisions relatives à la fin de vie
Fonds du Souvenir,Découvrez comment les anciens combattants admissibles peuvent obtenir des funérailles et une inhumation dans la dignité ainsi qu’une pierre tombale militaire. ,https://www.lastpostfund.ca/fr/accueil/,Externe,la prestation de soins,Décisions relatives à la fin de vie
Bereavement Authority of Ontario (site en anglais seulement) ,"Découvrez vos possibilités et vos droits et renseignez-vous sur les funérailles, l’inhumation, la crémation et l’aquamation. ",https://thebao.ca/,Externe,la prestation de soins,Décisions relatives à la fin de vie
Bereaved Families of Ontario (site en anglais seulement) ,"Trouvez des programmes de soutien individuel ou collectif gratuits à l’intention des personnes endeuillées, dans un milieu ouvert ou fermé. ",https://bereavedfamilies.net/,Externe,la prestation de soins,Décisions relatives à la fin de vie
Décès à l’extérieur du Canada,Découvrez quoi faire si une personne décède dans un autre pays. ,https://voyage.gc.ca/assistance/info-d-urgence/deces-a-l-etranger,Externe,la prestation de soins,Décisions relatives à la fin de vie
Gérer les finances d’une personne décédée ,"À titre d’exécutrice ou exécuteur testamentaire d’une personne décédée, vous devez remplir les formalités suivantes : 

indiquer à l’ARC la date de son décès 

remplir un formulaire d’impôt en son nom  

annuler ses pensions et ses prestations 

informer ses banques et ses institutions financières de son décès 

annuler sa pièce d’identité et ses permis du gouvernement 

informer ses clubs, ses organismes, ses services et ses associations professionnelles de son décès ",https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/evenements-vie/faire-impots-personne-decedee.html,Externe,la prestation de soins,Testaments et successions
Administration de la succession ,"Découvrez comment les actifs et les passifs d’une personne sont gérés après son décès, notamment ce qui se passe si elle meurt avec ou sans testament. ",https://www.ontario.ca/fr/page/administration-de-la-succession,Interne,la prestation de soins,Testaments et successions
Certificat de décès de l’Ontario ,"Lorsqu’une personne décède en Ontario, vous pouvez demander ce certificat et l’utiliser pour régler une succession, accéder à des prestations ou annuler certains services gouvernementaux. ",https://www.ontario.ca/fr/page/comment-obtenir-en-ligne-un-certificat-de-deces,Interne,la prestation de soins,Testaments et successions
"Services de soutien à domicile 
et en milieu communautaire",Trouvez un fournisseur de services de transport local qui pourra vous aider si vous avez besoin d’aide ou que vous n’avez pas d’autres choix. ,https://www.healthcareathome.ca/fr/trouver-un-bureau-local/,Externe,la conduite et le transport,Services de transport 
Programme de subventions accordées aux résidents du Nord de l’Ontario pour frais de transport à des fins médicales,Obtenez une aide financière pour couvrir vos frais si vous vivez dans le Nord de l’Ontario et que vous devez parcourir des distances importantes afin d’accéder à des services médicaux spécialisés. ,https://www.health.gov.on.ca/fr/public/publications/ohip/northern.aspx,Externe,la conduite et le transport,Services de transport 
Remise de GO Transit,Obtenez une remise sur vos trajets en train ou en bus si vous avez au moins 65 ans. ,https://www.gotransit.com/fr/voyager-avec-nous/personnes-agees,Externe,la conduite et le transport,Services de transport 
Services de santé non assurés pour les Premières Nations et les Inuits,"Obtenez une couverture pour transport sanitaire et médical. 

Services de conducteurs bénévoles 

Trouvez des services de conducteurs bénévoles dans votre région grâce à :  

la Croix-Rouge canadienne  

votre filiale de la Légion royale canadienne  

un Programme des centres de vie active pour personnes âgées ",https://www.sac-isc.gc.ca/fra/1572537161086/1572537234517,Externe,la conduite et le transport,Services de transport 
211 Ontario,"Recherchez dans votre région : 

des transports publics 

des services d’autobus et de transport en commun adapté 

des organismes qui fournissent des services de transport ",https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA..,Externe,la conduite et le transport,Services de transport 
Renouvellement d’un permis de conduire ,"Si vous avez moins de 80 ans, vous devez renouveler votre permis de conduire tous les 5 ans. Découvrez la procédure à suivre. ",https://www.ontario.ca/fr/page/renouveler-permis-de-conduire,Interne,la conduite et le transport,Renouvellement d’un permis de conduire 
Renouvellement d’un permis de conduire pour les personnes âgées d’au moins 80 ans ,"Après l’âge de 80 ans, vous devez renouveler votre permis de conduire tous les 2 ans. Découvrez la procédure à suivre. ",https://www.ontario.ca/fr/page/renouvellement-dun-permis-de-conduire-de-categorie-g-personnes-agees,Interne,la conduite et le transport,Renouvellement d’un permis de conduire 
Centres Test au Volant ,Cherchez un centre près de chez vous et réservez votre examen de la vue ainsi que vos examens théorique et pratique pour tous les types de permis.  ,https://drivetest.ca/fr/,Externe,la conduite et le transport,Renouvellement d’un permis de conduire 
Rappels numériques de ServiceOntario ,"Recevez des rappels gratuits lorsqu’il est temps de renouveler votre permis de conduire, votre plaque d’immatriculation, votre carte Santé ou votre carte-photo de l’Ontario. Service disponible par courriel, par message texte ou par téléphone. ",https://www.ontario.ca/fr/page/recevoir-rappels-renouvellement-serviceontario,Interne,la conduite et le transport,Renouvellement d’un permis de conduire 
Permis de stationnement accessible ,"Découvrez comment demander un nouveau permis de stationnement accessible, obtenir un permis de voyageur ou un permis d’entreprise, remplacer un permis perdu ou volé ou endommagé ou modifier les renseignements sur votre permis. ",https://www.ontario.ca/fr/page/obtenir-un-permis-de-stationnement-accessible,Interne,la conduite et le transport,Permis de véhicule et plaques d’immatriculation 
Plaques d’immatriculation pour anciens combattants ,Renseignez-vous sur les plaques d’immatriculation pour anciens combattants avec graphique et obtenez le formulaire nécessaire pour en faire la demande. ,https://www.ontario.ca/fr/page/plaque-dimmatriculation-personnalisee%23section-5#section-5,Interne,la conduite et le transport,Permis de véhicule et plaques d’immatriculation 
Trousse d’information sur les véhicules d’occasion (TIVO) ,"Découvrez comment commander une TIVO, qui contient la description d’un véhicule et son historique en Ontario. La loi exige que vous la remettiez à l’acheteur lorsque vous vendez un véhicule d’occasion. ",https://www.ontario.ca/fr/page/trousse-dinformation-sur-les-vehicules-doccasion,Interne,la conduite et le transport,Achat ou vente d’un véhicule
Conseil canadien de la sécurité : cours de recyclage en conduite automobile 55 ans au volant,"Si vous avez au moins 55 ans, suivez ce cours de conduite pour faire face aux problèmes de conduite liés à l’âge, revoir les règles de conduite et apprendre les principales causes de collision. ",https://canadasafetycouncil.org/produit/55-ans-au-volant/?lang=fr,Externe,la conduite et le transport,Cours de conduite pour personnes âgées 
Association canadienne des automobilistes : trousse d’information destinée aux conducteurs âgés,"Lisez cette trousse d’information destinée aux personnes âgées et à leurs proches. Elle vous permettra d’évaluer votre aptitude à conduire, de garder confiance au volant et de modifier certaines habitudes de conduite, si nécessaire. ",https://www.caa.ca/fr/conduite-securitaire/conducteurs-ages/,Externe,la conduite et le transport,Cours de conduite pour personnes âgées 
Emploi Ontario ,Trouvez un fournisseur de services de transport local qui pourra vous aider si vous avez besoin d’aide ou que vous n’avez pas d’autres choix. ,https://www.healthcareathome.ca/fr/trouver-un-bureau-local/,Externe, l’emploi et l’apprentissage ,Travailler en Ontario 
Partenariats pour la création d’emplois de l’Ontario | ontario.ca,Participez à des projets qui vous permettront d’acquérir des compétences ainsi qu’une expérience professionnelle en vue d’accroître vos chances de trouver un emploi de longue durée. ,https://www.ontario.ca/fr/page/partenariats-pour-la-creation-demplois-de-lontario,Interne, l’emploi et l’apprentissage ,Travailler en Ontario 
Meilleurs Emplois Ontario  ,"Trouvez une formation axée sur des compétences et une aide financière si vous êtes dans l’une des situations suivantes : 

Je ne travaille plus depuis mon licenciement. 

J’ai un emploi temporaire, qui me permet tout juste de couvrir mes dépenses, depuis mon licenciement. 

Je n’ai pas d’emploi depuis au moins six mois et je fais partie d’un ménage à revenu faible. ",https://www.ontario.ca/fr/page/meilleurs-emplois-ontario,Interne, l’emploi et l’apprentissage ,Travailler en Ontario 
