Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
Learning about taxes,https://www.canada.ca/en/revenue-agency/services/tax/individuals/educational-programs.html,Government supports,Financial information and supports,,,,
Community Volunteer Income Tax Program,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html,Government supports,Financial information and supports,,,,
Provincial tax credits and benefits,https://files.ontario.ca/msaa-seniors-home-safety-tax-credit-factsheet-en-2022-10-27.pdf,Government supports,Home and housing ,Financial information and supports,,,Yes
Your rights as a taxpayer,https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc17/taxpayer-bill-rights-guide-understanding-your-rights-a-taxpayer.html,Government supports,Financial information and supports,Legal support,,,
Old Age Security (OAS) pension,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,Government supports,Pension,,,,
Guaranteed Income Supplement (GIS),https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement.html,Government supports,Pension,Financial information and supports,,,
Allowance and Allowance for the Survivor,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement.html,Government supports,Pension,Financial information and supports,,,
Other benefits,https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,Government supports,Financial information and supports,,,,
Canada Pension Plan (CPP) Retirement Pension,https://www.canada.ca/en/services/benefits/publicpensions.html,Government supports,Pension,,,,
Canada Pension Plan Disability Benefits,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-disability-benefit.html,Government supports,Pension,,,,
Canada Pension Plan Survivor’s Pension and Death Benefits,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-survivor-pension.html,Government supports,Pension,End of Life decisions,,,
CPP Pension sharing,https://www.canada.ca/en/services/benefits/publicpensions/cpp/share-cpp.html,Government supports,Pension,,,,
Canada Pension and benefits for those who have lived or are living outside Canada,https://www.canada.ca/en/revenue-agency/services/tax/canada-pension-plan-cpp-employment-insurance-ei-rulings/international-social-security-agreements-canada-pension-plan.html,Government supports,Pension,,,,
Employment Insurance (EI) benefits,https://www.canada.ca/en/services/benefits/ei.html,Government supports,Financial information and supports,Employment,Caregiving,,
Guaranteed Annual Income System (GAINS),https://www.ontario.ca/page/guaranteed-annual-income-system-payments-seniors,Government supports,Financial information and supports,,,,
Financial planning,https://www.fpcanada.ca/findaplanner,External,Financial information and supports,Travel and recreation ,,,
Registered Retirement Savings Plan (RRSP) and Registered Retirement Income Fund (RRIF),https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans.html,Government supports,Financial information and supports,Home and housing ,Education and lifelong learning,,
Tax-Free Savings Account (TFSA),https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,Government supports,Financial information and supports,,,,
Lifelong Learning Plan,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans/lifelong-learning-plan.html,Government supports,Financial information and supports,Education and lifelong learning,,,
Other types of investments,https://www.getsmarteraboutmoney.ca/,External,Financial information and supports,,,,
Ontario Works,https://www.ontario.ca/page/social-assistance,Government supports,Employment,Financial information and supports,,,
Home and Vehicle Modification Program,https://www.marchofdimes.ca/en-ca/programs/am/hvmp/Pages/modchvmp.aspx,External,Financial information and supports,Home and housing ,Caregiving,,Yes
Medical Expense Tax Credit,https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/income-tax-folios-index/series-1-individuals/folio-1-health-medical/income-tax-folio-s1-f1-c1-medical-expense-tax-credit.html,Government supports,Financial information and supports,Healthcare and medication,Caregiving,,
Disability pensions and awards for veterans,https://www.veterans.gc.ca/,Government supports,Financial information and supports,Achievements and recognition,Veteran supports ,Pension,
Bureau of Pensions Advocates,https://www.veterans.gc.ca/eng/veterans-rights/how-to-appeal/bureau-pensions-advocates,Government supports,Pension,Legal support,Veteran supports ,,
War Veterans Allowance,https://www.veterans.gc.ca/eng/financial-support/income-support/war-veterans-allowance,Government supports,Financial information and supports,Veteran supports ,,,
Soldiers’ Aid Commission of Ontario,https://www.ontario.ca/page/soldiers-aid-commission,Government supports,Financial information and supports,Veteran supports ,,,
Benevolent Funds,https://www.on.legion.ca/veterans-seniors/service-officers/benevolent-funds,External,Financial information and supports,Veteran supports ,,,
SG Chapter: Employment and education,,,,,,,
Employment Ontario,https://www.ontario.ca/page/employment-ontario,Government supports,Employment,Education and lifelong learning,,,Yes
Ontario Job Creation Partnerships,https://www.ontario.ca/page/ontario-job-creation-partnerships,Government supports,Employment,Education and lifelong learning,,,
Better Jobs Ontario,https://www.ontario.ca/page/better-jobs-ontario,Government supports,Employment,Education and lifelong learning,Financial information and supports,,
Job Bank,https://www.jobbank.gc.ca/home,Government supports,Employment,,,,
Ontario WorkinfoNet (OnWIN),http://onwin.ca/,External,Employment,Education and lifelong learning,,,
Employment Standards Act (ESA),https://www.ontario.ca/document/your-guide-employment-standards-act-0,Government supports,Employment,,,,
Internationally trained professionals,https://www.ontario.ca/page/work-your-profession-or-trade,Government supports,Employment,Education and lifelong learning,,,
Continuing and distance education,https://www.ontario.ca/document/guide-programs-and-services-seniors/employment-and-education,Government supports,Education and lifelong learning,,,,
Third Age Network,https://thirdagenetwork.ca/,External,Activities and social connections,Education and lifelong learning,,,
Independent Learning Centre,https://www.ilc.org/,External,Education and lifelong learning,Activities and social connections,,,
Computer training,https://www.ontario.ca/document/guide-programs-and-services-seniors/employment-and-education,Government supports,Education and lifelong learning,,,,
SG Chapter: Caregiving,,,,,,,
Tax credits for caregivers,https://www.ontario.ca/document/guide-programs-and-services-seniors/caregiving,Government supports,Financial information and supports,Caregiving,,,Yes
Care at home ,https://www.ontario.ca/page/ontario-seniors-care-home-tax-credit,Government supports,Caregiving,Home and housing ,Financial information and supports,Healthcare and medication,Yes
Compassionate care benefits,https://www.canada.ca/en/employment-social-development/programs/ei/ei-list/reports/digest/chapter-23/compassionate-care-benefits.html,Government supports,Caregiving,Financial information and supports,,,
Family medical leave,https://www.ontario.ca/document/your-guide-employment-standards-act-0/family-medical-leave,Government supports,Caregiving,Employment,Financial information and supports,,
Family caregiver leave,https://www.ontario.ca/document/your-guide-employment-standards-act-0/family-caregiver-leave,Government supports,Caregiving,Employment,Financial information and supports,,
SG Chapter: Home and community support services,,,,,,,
A Friendly Voice,https://afriendlyvoice.ca/,External,Activities and social connections,Volunteering  ,Mental health,,
Friendly Calls Program,https://www.redcross.ca/in-your-community/ontario/senior-support-services/friendly-calls-program,External,Activities and social connections,Mental health,,,
Meals on Wheels,https://www.mealsonwheels.ca/,External,Caregiving,Home and housing ,Healthcare and medication,Activities and social connections,Yes
SG Chapter: Housing,,,,,,,
Home adaptations,https://www.cmhc-schl.gc.ca/,External,Home and housing ,Financial information and supports,,,Yes
Ontario Renovates,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Senior and/or disabled property tax relief,https://www.mpac.ca/en/MakingChangesUpdates/ExemptionSeniorsandPersonsDisabilities,External,Home and housing ,Financial information and supports,,,
Property tax relief for low-income seniors and low-income persons with disabilities,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Provincial Land Tax Deferral Program for Low-Income Seniors and Low-Income Persons with Disabilities,https://www.ontario.ca/document/provincial-land-tax,Government supports,Financial information and supports,Home and housing ,,,
Housing options,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Caregiving,,,Yes
Adult lifestyle communities,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Activities and social connections,,,
Life lease housing,https://www.ontario.ca/document/life-lease-housing,Government supports,Home and housing ,,,,
Retirement homes,https://www.rhra.ca/en/,External,Home and housing ,Caregiving,,,
Supportive housing,https://www.ontario.ca/page/home-community-care,Government supports,Home and housing ,Caregiving,,,
Housing options for low-income seniors,https://www.ontario.ca/page/affordable-housing-ontario,Government supports,Home and housing ,Financial information and supports,Caregiving,,Yes
Rent-geared-to-income housing,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Rent supplements and housing allowances,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Canada-Ontario Housing Benefit,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Co-operative housing,https://chfcanada.coop/,External,Home and housing ,Financial information and supports,,,
Homelessness Prevention Program,https://www.ontario.ca/document/guide-programs-and-services-seniors/housing,Government supports,Home and housing ,Financial information and supports,,,
Rent increase guidelines,https://www.ontario.ca/page/residential-rent-increases,Government supports,Home and housing ,,,,
"Residential Tenancies Act, 2006",https://www.ontario.ca/laws/statute/06r17,Government supports,Home and housing ,,,,
Landlord and Tenant Board,https://tribunalsontario.ca/en/,Government supports,Home and housing ,Legal support,,,
Residential Rehabilitation Assistance Program On-Reserve,https://www.cmhc-schl.gc.ca/en/professionals/project-funding-and-mortgage-financing/funding-programs/all-funding-programs/residential-rehabilitation-assistance-program,External,Home and housing ,Indigenous supports ,Financial information and supports,Mental health,
Assisted Living Program,https://www.sac-isc.gc.ca/eng/1100100035250/1533317440443,Government supports,Home and housing ,Indigenous supports ,Activities and social connections,Caregiving,
Long-term care homes,https://www.ontario.ca/page/long-term-care-ontario,Government supports,Home and housing ,Caregiving,Healthcare and medication,End of Life decisions,
Inspections in long-term care homes,https://www.ontario.ca/laws/statute/07l08,Government supports,Home and housing ,Legal support,Safety,,
Complaints in long-term care homes,https://www.ontario.ca/page/long-term-care-home-complaint-process,Government supports,Home and housing ,Safety,Caregiving,,
Ontario Association of Residents’ Councils,https://www.ontarc.com/,External,Home and housing ,Education and lifelong learning,,,
Family Councils Ontario,https://fco.ngo/,External,Caregiving,Home and housing ,Safety,,
SG Chapter: Safety and security,,,,,,,
Consumer Protection Ontario,https://www.ontario.ca/page/consumer-protection-ontario,Government supports,Safety,Legal support,Education and lifelong learning,,Yes
Door-to-door salespeople,https://www.ontario.ca/page/door-door-sales-and-home-service-contracts,Government supports,Safety,Home and housing ,,,
"Home renovations, condos or moving",https://www.ontario.ca/page/consumer-protection-information-about-homes-and-renovations,Government supports,Home and housing ,Education and lifelong learning,Safety,,
Scams and frauds,https://www.ontario.ca/page/scams-and-identity-theft,Government supports,Safety,Financial information and supports,Caregiving,,
Telemarketing,https://www.ontario.ca/page/safe-over-phone-shopping,Government supports,Safety,,,,
Grandparent or emergency scams,https://antifraudcentre-centreantifraude.ca/,Government supports,Safety,,,,
Identity theft,https://www.ontario.ca/page/how-avoid-or-recover-identity-theft,Government supports,Safety,,,,
Investment fraud,https://www.osc.ca/en,External,Safety,Financial information and supports,,,
